Bundesland,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
Baden-Wuerttemberg,12302,11610,12297,13292,13496,12824,13348,13842,15073,15237,14796,14627,14405,14806,14568,14251,14417,14530,14607,15239,13686,13573,13444,14648
Bayern,13010,14304,13599,13761,14412,13759,14131,13950,13616,12713,13083,13750,14384,14817,15509,15314,15835,15456,14903,14034,12702,11879,10549,10805
Berlin,1242,1228,1099,1109,1017,888,971,1030,930,984,917,812,861,897,869,840,829,716,719,677,675,526,484,476
Brandenburg,398,399,379,408,362,317,428,395,362,366,322,354,302,322,327,358,333,329,292,297,295,257,229,195
Bremen,164,198,143,158,185,178,148,183,147,162,166,153,150,160,143,157,141,129,136,142,121,102,104,109
Hamburg,1185,1427,1166,955,1105,919,949,1009,1100,937,920,1011,779,764,834,822,816,790,882,762,622,463,377,401
Hessen,4688,4159,4113,4003,4186,3448,3248,3013,2673,2460,2430,2379,2299,2168,2045,1910,1933,1930,1615,1542,1568,1479,1202,1089
Mecklenburg-Vorpommern,206,183,194,243,218,200,182,177,184,199,170,168,181,181,169,155,104,135,145,89,107,98,177,122
Niedersachsen,3427,3200,2861,2893,2972,2724,2610,2759,3352,2906,2930,2994,2964,2927,3137,3485,3703,3514,3605,3852,3233,2985,2792,2825
Nordrhein-Westfalen,10274,9929,9117,8975,8875,8168,8219,8348,7831,7350,7542,7114,6787,7080,7113,6878,7080,7208,6846,7019,6398,5675,5293,5527
Rheinland-Pfalz,2341,2535,2591,2677,2719,2224,1336,1265,1296,1259,1240,1186,1130,1036,1032,938,1076,922,911,834,781,856,805,605
Saarland,351,358,342,332,368,361,313,334,296,307,257,251,249,251,223,214,196,197,175,215,192,178,137,98
Sachsen,1000,933,873,859,853,859,814,950,1013,1198,1224,1070,1063,968,967,908,811,717,595,668,642,604,592,544
Sachsen-Anhalt,447,408,375,492,414,369,345,339,367,311,337,314,251,230,227,199,226,186,204,194,159,154,122,140
Schleswig-Holstein,678,679,607,627,660,598,586,626,592,561,561,489,503,445,436,447,475,490,452,469,481,475,426,383
Thueringen,734,796,748,849,791,714,650,617,631,624,592,568,596,539,559,513,519,537,543,598,607,525,471,502
Deutschland,52447,52346,50504,51633,52633,48550,48278,48837,49463,47574,47487,47240,46904,47591,48158,47389,48494,47786,46630,46631,42269,39829,37204,38469
